stock_code,event_date,broker_id,broker_name,build_start,build_peak_pct,build_days,dump_end,dump_pct,retail_delta_pct,flag_level
00254,2026-05-28,B01666+B02014,寶新+粵商國際(COMBO_BSGS),2026-06-22,12.6,,,,,COMBO_BSGS
00254,2026-05-28,B01438,KINGSTON SECURITIES LTD,2026-05-05,4.85,10,2026-06-17,93.2,3.56,衛星倉派貨
00254,2026-05-28,B02014,YUET SHEUNG INTERNATIONAL SECURITIES LTD,2026-06-05,12.6,10,2026-07-21,76.1,2.35,衛星倉派貨
00254,2026-05-28,C00010,CITIBANK N.A.,2026-06-23,3.54,1,2026-07-23,64.1,1.8,建倉派貨(散戶升幅不足)
02113,2026-09-02,B01666+B02014,寶新+粵商國際(COMBO_BSGS),2026-08-21,7.85,,,,,COMBO_BSGS
02113,2026-09-02,B02014,YUET SHEUNG INTERNATIONAL SECURITIES LTD,2026-08-24,4.36,4,2026-09-17,64.4,4.25,衛星倉派貨
