event_id,stock_code,csv_agent,csv_direct_like,parsed_disclosure_type,mismatch
配股_01020.hk_15/03/26,01020,中毅資本,False,AGENT_SOURCED,False
配股_01025.hk_22/06/26,01025,華業,False,AGENT_SOURCED,False
供股_01025.hk_02/11/25,01025,,True,UNKNOWN,False
供股_01025.hk_10/12/24,01025,,True,UNKNOWN,False
配股_01027.hk_03/03/26,01027,新確,False,AGENT_SOURCED,False
配股_01028.hk_30/10/25,01028,-,True,AGENT_SOURCED,True
供股_01029.hk_24/10/25,01029,,True,UNKNOWN,False
供股_01029.hk_22/10/24,01029,,True,UNKNOWN,False
配股_01030.hk_05/02/26,01030,"花旗, 中金公司, 華泰",False,AGENT_SOURCED,False
配股_01050.hk_29/01/26,01050,星展亞洲,False,NO_DEF,False
供股_01069.hk_27/03/26,01069,,True,AGENT_SOURCED,True
供股_01073.hk_30/07/25,01073,,True,UNKNOWN,False
配股_01079.hk_04/12/25,01079,結好,False,AGENT_SOURCED,False
供股_01079.hk_16/07/26,01079,,True,UNKNOWN,False
配股_01087.hk_13/05/26,01087,中達,False,AGENT_SOURCED,False
配股_01091.hk_18/08/26,01091,信誠,False,AGENT_SOURCED,False
配股_01094.hk_23/07/26,01094,高裕,False,AGENT_SOURCED,False
供股_01104.hk_28/05/26,01104,,True,UNKNOWN,False
配股_01119.hk_30/09/25,01119,-,True,NO_DEF,False
供股_01129.hk_06/11/24,01129,,True,UNKNOWN,False
供股_01129.hk_04/10/24,01129,,True,UNKNOWN,False
配股_01130.hk_04/11/25,01130,金利豐,False,AGENT_SOURCED,False
配股_01140.hk_30/10/25,01140,-,True,AGENT_SOURCED,True
供股_01140.hk_11/06/26,01140,,True,UNKNOWN,False
配股_01142.hk_28/11/25,01142,滙富,False,NO_DEF,False
配股_01142.hk_28/06/26,01142,-,True,DIRECT_SUBSCRIPTION,False
供股_01143.hk_13/12/24,01143,,True,UNKNOWN,False
配股_01146.hk_26/05/26,01146,-,True,DIRECT_SUBSCRIPTION,False
配股_01152.hk_26/05/26,01152,國元國際,False,NO_DEF,False
配股_01152.hk_27/04/26,01152,-,False,NO_DEF,False
配股_01153.hk_15/04/26,01153,寶時,False,AGENT_SOURCED,False
配股_01156.hk_25/06/26,01156,瑞城,False,AGENT_SOURCED,False
配股_01159.hk_02/06/26,01159,路華,False,NO_DEF,False
